module_group,avg_total_l2,avg_ratio,ratio_std,avg_ma_total,avg_std_total,avg_sparsity,avg_heavy_tail,stability_ratio,recommended_bits,rationale
sam_mask_decoder.transformer.final_attn_token_to_image.q_proj,0.002289821119308291,0.00019977384541477805,0.0001321052985118552,0.0022829401747201227,0.0013999449279516317,0.9858799019533602,274358.0534956509,0.6132201550674704,32,Extreme gradient-to-weight scaling
sam_mask_decoder.transformer.final_attn_token_to_image.v_proj,0.0024162828700038676,0.0002043866396144155,9.78522697585409e-05,0.0024177545892582254,0.0010407693441537838,0.9416891002571471,11912.753757149796,0.43046939039131144,32,Extreme gradient-to-weight scaling
sam_mask_decoder.transformer.layers.0,0.027060236854088406,0.00020974265262872972,0.00012652813176852629,0.026693747653032823,0.01781434232924922,0.9594146633809335,597590.4549256157,0.6673601084718891,32,Extreme gradient-to-weight scaling
sam_mask_decoder.transformer.layers.1,0.027520486991248944,0.00014620072498806543,6.510665284647474e-05,0.027301494407951415,0.012446837689493862,0.9576688911688993,429639.7224759905,0.45590316425568217,32,Extreme gradient-to-weight scaling
sam_mask_decoder.transformer.norm_final_attn.bias,7.765786771731497e-05,5.225069739843876e-05,3.1149185143730726e-05,7.762357016675388e-05,4.1460529816189855e-05,0.9076390261161038,532.910009201627,0.5341229439347196,32,Extreme gradient-to-weight scaling
sam_mask_decoder.transformer.norm_final_attn.weight,7.911876556808356e-05,2.121641144646799e-06,1.3601525379821078e-06,7.89431949724176e-05,4.449455859627293e-05,0.9660208928182499,93.1437526785661,0.5636275376467741,16,High gradient dynamics or heavy tails
sam_prompt_encoder.mask_downscaling.0.bias,0.0002023999592161683,0.000286203347807869,0.0004525415510557477,0.00019941653426077275,0.0003057542363082795,0.7819328513759723,2222634.993924642,1.533244158723826,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.mask_downscaling.0.weight,0.0022946385830911586,0.016957268647427116,0.024843017354802092,0.002240456647198995,0.0032061864818222637,0.8660632053865203,2986242.2829091065,1.4310415181791705,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.mask_downscaling.1.bias,0.0006126712471244821,0.0016779039995281724,0.002604745328370847,0.0006030942747596867,0.0008925605877402224,0.8065676428476172,3.220336874767795,1.4799685971084349,16,High gradient dynamics or heavy tails
sam_prompt_encoder.mask_downscaling.1.weight,0.0007484861778167491,0.0032356603975545544,0.004652338167869198,0.0007400765352492495,0.0010628800933065508,0.8072189801546676,13.732177407490573,1.4361759124663838,16,High gradient dynamics or heavy tails
sam_prompt_encoder.mask_downscaling.3.bias,0.0055735801528815345,0.0572735490889179,0.08223869335046767,0.005453042415426395,0.007668697942260417,0.9215648493126964,1126685.580834031,1.4063154763964496,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.mask_downscaling.3.weight,0.002348185058192188,0.004678213541825502,0.006421007104081191,0.0022987947600562448,0.0031518028396743288,0.9711756678105163,18441.124402143225,1.3710675239216281,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.mask_downscaling.4.bias,0.00010056765284824233,3.570194010364832e-05,5.380846755210977e-05,9.859519456354878e-05,0.00014329150962036062,0.9018349466023864,32.54473521187283,1.4533315772099134,16,High gradient dynamics or heavy tails
sam_prompt_encoder.mask_downscaling.4.weight,0.00019015047730689454,0.0001219465846778162,0.00018574783261182228,0.00018641698543425602,0.00027304576570494354,0.9187629248585603,15.206447077756307,1.464704329752393,16,High gradient dynamics or heavy tails
sam_prompt_encoder.mask_downscaling.6.bias,0.0001960519567428096,9.4088765599797e-05,0.00012750717502036727,0.0001919979485976328,0.0002595459392278792,0.961948605615611,3335.350758261608,1.3518162101398579,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.mask_downscaling.6.weight,0.0007607075936982216,0.00020507596848802874,0.0002984462538982517,0.0007423823532532833,0.001033085501302615,0.9873036919637634,831.0797352234912,1.3915814361365224,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.no_mask_embed.weight,0.00034815889170125087,0.000764408623147965,0.0003998856981728013,0.00034468318241733973,0.0001665220764602439,0.9226242316131016,705.407434439318,0.4831163368412337,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.not_a_point_embed.weight,0.0001928069695484579,0.00011985288846685733,7.375867487690872e-05,0.00019205183019223304,0.00010809023325516441,0.9028591371578657,278.6374090558917,0.562818032751743,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.point_embeddings.0.weight,0.00012143250336046786,7.442393505187701e-05,0.00013917503995193375,0.00011993988854237552,0.0002063027258881845,0.9751324217877051,127.5510392110641,1.720051005510952,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.point_embeddings.1.weight,0.00018861098256504351,0.00013567589354582853,0.0002293152851872272,0.00018033476236432874,0.000272548194555978,0.9735099445936217,190.5014889097052,1.5113458491455534,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.point_embeddings.2.weight,3.1060998955344196e-05,1.4371283794202497e-05,3.678738474680182e-05,3.037867438924714e-05,6.55040965349387e-05,0.986064159756521,136.5500310545492,2.156252629579011,32,Extreme gradient-to-weight scaling
sam_prompt_encoder.point_embeddings.3.weight,3.258622734600304e-05,1.4526042038931331e-05,3.7531921835461864e-05,3.261643225388241e-05,6.992831678335618e-05,0.9855614245982148,52.402135795590745,2.1439597145096227,16,High gradient dynamics or heavy tails
